Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,The Maze,100,0.59351914,https://leetcode.com/problems/the-maze,"Array, Depth-First Search, Breadth-First Search, Matrix"
MEDIUM,The Maze II,100,0.541042254,https://leetcode.com/problems/the-maze-ii,"Array, Depth-First Search, Breadth-First Search, Graph, Heap (Priority Queue), Matrix, Shortest Path"
MEDIUM,My Calendar I,100,0.581317519,https://leetcode.com/problems/my-calendar-i,"Array, Binary Search, Design, Segment Tree, Ordered Set"
HARD,Alien Dictionary,87.8,0.36595318,https://leetcode.com/problems/alien-dictionary,"Array, String, Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,Design Hit Counter,78.1,0.691335927,https://leetcode.com/problems/design-hit-counter,"Array, Binary Search, Design, Queue, Data Stream"
MEDIUM,Construct Quad Tree,78.1,0.769657751,https://leetcode.com/problems/construct-quad-tree,"Array, Divide and Conquer, Tree, Matrix"
MEDIUM,Course Schedule II,71.3,0.531287089,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,LRU Cache,71.3,0.449367557,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
HARD,Number of Islands II,71.3,0.400780107,https://leetcode.com/problems/number-of-islands-ii,"Array, Hash Table, Union Find"
HARD,Bus Routes,71.3,0.469723052,https://leetcode.com/problems/bus-routes,"Array, Hash Table, Breadth-First Search"
MEDIUM,Shuffle an Array,71.3,0.589630879,https://leetcode.com/problems/shuffle-an-array,"Array, Math, Design, Randomized"
HARD,Block Placement Queries,71.3,0.165085007,https://leetcode.com/problems/block-placement-queries,"Array, Binary Search, Binary Indexed Tree, Segment Tree"
MEDIUM,Minimum Operations to Write the Letter Y on a Grid,71.3,0.615725672,https://leetcode.com/problems/minimum-operations-to-write-the-letter-y-on-a-grid,"Array, Hash Table, Matrix, Counting"
MEDIUM,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,61.6,0.566844534,https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit,"Array, Queue, Sliding Window, Heap (Priority Queue), Ordered Set, Monotonic Queue"
HARD,Find the Closest Palindrome,61.6,0.315989715,https://leetcode.com/problems/find-the-closest-palindrome,"Math, String"
HARD,Making A Large Island,61.6,0.545543891,https://leetcode.com/problems/making-a-large-island,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Number of Islands,61.6,0.620689969,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Find Minimum in Rotated Sorted Array,61.6,0.524599922,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Walls and Gates,61.6,0.628172271,https://leetcode.com/problems/walls-and-gates,"Array, Breadth-First Search, Matrix"
MEDIUM,Basic Calculator II,61.6,0.456278003,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack"
EASY,Squares of a Sorted Array,61.6,0.731755772,https://leetcode.com/problems/squares-of-a-sorted-array,"Array, Two Pointers, Sorting"
